,close,date,high,low,open,time,unix,vol_fiat,volume
256,6.64e-06,2021-09-02,6.88e-06,6.54e-06,6.81e-06,2021-09-02,1630540800,19.6638288,2961420
257,6.82e-06,2021-09-01,7.33e-06,6.72e-06,6.81e-06,2021-09-01,1630454400,25.54344386,3745373
258,6.83e-06,2021-08-31,7.15e-06,6.67e-06,6.98e-06,2021-08-31,1630368000,23.47547496,3437112
259,6.97e-06,2021-08-30,7.65e-06,6.41e-06,6.43e-06,2021-08-30,1630281600,75.93244854,10894182
260,6.42e-06,2021-08-29,6.76e-06,6.16e-06,6.21e-06,2021-08-29,1630195200,19.81419366,3086323
261,6.19e-06,2021-08-28,6.33e-06,6.13e-06,6.28e-06,2021-08-28,1630108800,13.13915398,2122642
262,6.32e-06,2021-08-27,6.7e-06,6.03e-06,6.09e-06,2021-08-27,1630022400,39.73075584,6286512
263,6.09e-06,2021-08-26,6.37e-06,6.06e-06,6.31e-06,2021-08-26,1629936000,59.22264957,9724573
264,6.29e-06,2021-08-25,6.42e-06,6.1e-06,6.3e-06,2021-08-25,1629849600,29.83310518,4742942
265,6.29e-06,2021-08-24,6.63e-06,6.13e-06,6.63e-06,2021-08-24,1629763200,32.96711026,5241194
266,6.62e-06,2021-08-23,6.85e-06,6.32e-06,6.43e-06,2021-08-23,1629676800,42.73996456,6456188
267,6.43e-06,2021-08-22,6.63e-06,6.04e-06,6.19e-06,2021-08-22,1629590400,34.61644512,5383584
268,6.21e-06,2021-08-21,6.52e-06,6.09e-06,6.35e-06,2021-08-21,1629504000,26.76709341,4310321
269,6.36e-06,2021-08-20,6.88e-06,6.13e-06,6.22e-06,2021-08-20,1629417600,61.29309444,9637279
270,6.23e-06,2021-08-19,6.34e-06,5.61e-06,6.32e-06,2021-08-19,1629331200,40.4687094,6495780
271,6.33e-06,2021-08-18,6.55e-06,5.95e-06,6.05e-06,2021-08-18,1629244800,40.99399152,6476144
272,6.07e-06,2021-08-17,6.51e-06,5.49e-06,6.23e-06,2021-08-17,1629158400,66.55070304,10963872
273,6.23e-06,2021-08-16,6.53e-06,5.68e-06,6.51e-06,2021-08-16,1629072000,30.864666,4954200
274,6.53e-06,2021-08-15,6.63e-06,6.08e-06,6.11e-06,2021-08-15,1628985600,30.89557184,4731328
275,6.14e-06,2021-08-14,6.4e-06,6.04e-06,6.21e-06,2021-08-14,1628899200,24.66714914,4017451
276,6.21e-06,2021-08-13,6.96e-06,5.87e-06,5.91e-06,2021-08-13,1628812800,55.67117823,8964763
277,5.91e-06,2021-08-12,6.1e-06,5.84e-06,6e-06,2021-08-12,1628726400,15.90686547,2691517
278,6e-06,2021-08-11,6.52e-06,5.89e-06,5.97e-06,2021-08-11,1628640000,16.686438,2781073
279,5.97e-06,2021-08-10,7e-06,5.7e-06,5.99e-06,2021-08-10,1628553600,53.90853882,9029906
280,5.97e-06,2021-08-09,7.04e-06,5.29e-06,5.43e-06,2021-08-09,1628467200,39.31813941,6585953
281,5.42e-06,2021-08-08,6.07e-06,5.27e-06,5.74e-06,2021-08-08,1628380800,17.703877159999998,3266398
282,5.74e-06,2021-08-07,6.02e-06,5.55e-06,5.64e-06,2021-08-07,1628294400,17.10877028,2980622
283,5.63e-06,2021-08-06,6.16e-06,5.61e-06,5.75e-06,2021-08-06,1628208000,17.13675164,3043828
284,5.76e-06,2021-08-05,5.9e-06,5.49e-06,5.58e-06,2021-08-05,1628121600,15.10731072,2622797
285,5.56e-06,2021-08-04,5.75e-06,5.49e-06,5.59e-06,2021-08-04,1628035200,12.82456812,2306577
286,5.6e-06,2021-08-03,5.85e-06,5.51e-06,5.63e-06,2021-08-03,1627948800,15.4438928,2757838
287,5.64e-06,2021-08-02,5.68e-06,5.33e-06,5.47e-06,2021-08-02,1627862400,11.81603688,2095042
288,5.47e-06,2021-08-01,5.69e-06,5.36e-06,5.61e-06,2021-08-01,1627776000,10.00230525,1828575
